,0
0,"{'mast': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('this', 0.027047816617747758), ('phenomenon', 0.0439627296036737), ('occurs', 0.025285681178211842), ('at', -0.0006089890910995398), ('mast', 0.26138311565617844), ('cell', 0.861611867339764), ('/', 0.12486693768752126), ('tumor', 0.10378921450355712), ('ratios', 0.021374313582906316), ('which', -0.008637443493098985), ('reflect', 0.016734367273643053), ('the', 0.011374531304921448), ('s', 0.020110313815504717), ('##to', 0.006379042068663524), ('##ichi', -0.0017027796226671433), ('##ome', 0.03645716203443967), ('##try', 0.02911870448033573), ('of', 0.10644463722243039), ('host', -0.0985676879356498), ('cell', 0.3122678747715864), ('/', 0.1829946576615129), ('tumor', 0.04958736103023916), ('relationships', -0.014185945406892508), ('in', 0.02362813245492551), ('v', 0.02326334777193041), ('##ivo', 0.01579348850918886), ('.', 0.004069592565932289), ('[SEP]', 0.0)]}, 'host': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('this', 0.036348082986416154), ('phenomenon', 0.05577176264493569), ('occurs', 0.01199471859675143), ('at', -0.03632029592921483), ('mast', 0.31609134622665785), ('cell', 0.5621141241830714), ('/', 0.08675712680856106), ('tumor', 0.10380605889218689), ('ratios', 0.04819172672919966), ('which', 0.029918676083848898), ('reflect', 0.034392064900590893), ('the', 0.012222116183042133), ('s', 0.026226139054829484), ('##to', 0.0209416020647012), ('##ichi', 0.018924806032919385), ('##ome', 0.061790179062547836), ('##try', 0.04710002905743345), ('of', 0.2165405381921321), ('host', -0.25029703425462985), ('cell', 0.6079989800251412), ('/', 0.23342109472601716), ('tumor', 0.10516576155116883), ('relationships', -0.007754049975696905), ('in', 0.04635207009593092), ('v', 0.02578651651994512), ('##ivo', 0.0049575715731144466), ('.', 0.014194258491105132), ('[SEP]', 0.0)]}}"
1,{}
2,{}
3,{}
4,{}
5,"{'tumor': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('this', 0.002495594644887962), ('study', 0.004795090567416928), ('was', 0.007976970295161827), ('aimed', 0.012090835072935183), ('to', 0.008833287190011257), ('investigate', -0.0014549135757186914), ('whether', 0.009646165450958583), ('there', 0.01158556977694311), ('is', 0.00954855261358819), ('selective', 0.01196030311771924), ('expression', 0.007655188974562328), ('of', 0.02093729514577396), ('these', 0.019089740717096508), ('c', -0.0006379954766117625), ('##yt', 0.004887382320695618), ('##oly', 0.011624171632927139), ('##tic', 0.004448029250961209), ('markers', 0.03706715961440361), ('in', 0.006308719727712532), ('the', 0.017590881225758147), ('put', 0.011851087107232372), ('##ative', 0.001818721047882832), ('n', -0.001157971124551135), ('##k', -0.006348562716006369), ('-', -0.012373398497123976), ('cell', 0.02037986349994567), ('l', 0.0003997021797416006), ('##ymph', 0.005337938976667851), ('##oma', 0.009955741917771087), ('##s', 0.011932189147378484), ('and', 0.018200692610186815), ('whether', 0.02407414392749515), ('there', 0.02267469746806454), ('is', 0.014085334090671144), ('correlation', 0.025197434758481223), ('with', 0.032038762369439366), ('z', -0.05919757386748186), ('##onal', 0.054041850719455685), ('tumor', 0.12865399950080958), ('cell', 0.9715373227413903), ('death', 0.15777754291808765), ('in', 0.0040565698842151745), ('these', 0.011040490532715044), ('tumors', 0.0025267003000666983), ('.', 0.015709339569042274), ('[SEP]', 0.0)]}}"
6,{}
7,"{'cell': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('co', 0.04296554150028119), ('##tre', 0.06620112339647105), ('##at', 0.047059991199699225), ('##ment', 0.043639988733528416), ('of', 0.014647519935913655), ('cell', 0.7322516630484656), ('lines', 0.6600916045894573), ('with', 0.08400481988828942), ('a', 0.050776014879161335), ('hormone', 0.061999289715650496), ('and', 0.016903632159702198), ('its', 0.025279063163352055), ('specific', 0.006390728238190506), ('antagonist', 0.003301714873079487), ('blocked', 0.01082292894017104), ('the', -0.006022002682080186), ('effect', 0.030497610861549316), ('of', 0.031059984176196428), ('the', -0.024691220629403918), ('hormone', 0.020256271677324623), ('.', 0.0008220453396753479), ('[SEP]', 0.0)]}}"
8,"{'end': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('ne', 0.007933573600261683), ('##uro', 0.005067539986302415), ('##tro', 0.00903945927123522), ('##phi', 0.061945322093285286), ('##n', 0.05125607042206226), ('p', 0.00873830175526965), ('##75', 0.014021465214970056), ('receptor', 0.06884315610902135), ('(', 0.022777782901813367), ('p', 0.02941829468419234), ('##75', 0.016922570411015518), ('##nt', 0.042240282137807124), ('##r', 0.038765955507388816), (')', 0.022461098375174068), ('promotes', 0.08447401146560912), ('end', 0.06378304888797968), ('##oth', 0.05142504435892751), ('##eli', 0.01932502248383211), ('##al', 0.1493056477991678), ('cell', 0.9585250873371528), ('a', 0.07684493178325873), ('##pop', 0.08077653364944991), ('##tosis', 0.0774606009374324), ('and', 0.042984645894298304), ('in', 0.01634182476362193), ('##hibit', 0.009067604008148022), ('##s', 0.018111610236934046), ('an', 0.02324224782123868), ('##gio', 0.007185074682184448), ('##genesis', 0.010945300829694788), (':', 0.005234426616864892), ('implications', 0.011706716188577061), ('for', 0.01174997838352353), ('diabetes', 0.002761049786159073), ('-', 0.002177913991529365), ('induced', 0.025170448991158344), ('impaired', 0.010356068752796115), ('neo', 0.01073878875050823), ('##vas', 0.005449936826702431), ('##cular', 0.01870528823815849), ('##ization', 0.011254946716303019), ('in', 0.024834600071835963), ('is', 0.002558309802022657), ('##che', 0.021534497625766813), ('##mic', 0.020390204612432447), ('limb', 0.014986036378992176), ('muscles', 0.04992591786054482), ('.', -0.0064890294569745965), ('[SEP]', 0.0)]}}"
9,"{'end': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('so', 0.010949217052741343), ('we', 0.01647344728065969), ('established', 0.02059101640502596), ('that', 0.05199882172960122), ('these', 0.048072215511195976), ('pathways', 0.035765964881246434), ('were', 0.02599910866183223), ('crucial', 0.02612700473845914), ('to', 0.06851114490990352), ('end', 0.038889699577232595), ('##oth', 0.0878939382299924), ('##eli', 0.10225760046320702), ('##al', 0.20506483121295893), ('cell', 0.9416892244380177), ('proliferation', 0.13426581334021628), ('under', 0.027861466621567094), ('vascular', -0.006667160627662177), ('end', 0.008630824801039464), ('##oth', 0.023290189510229608), ('##eli', 0.00433294526232816), ('##al', 0.017186931600599552), ('growth', 0.013548563512839135), ('factor', 0.07713690210873561), ('(', 0.01402742399072395), ('ve', 0.012769766620472292), ('##g', 0.009588165404850817), ('##f', 0.02459620164322099), (')', 0.030201622299491214), ('and', 0.014858160613012459), ('fi', 0.003684475345668349), ('##bro', 0.005156562188977638), ('##blast', 0.028043611997900085), ('growth', 0.011977760918289782), ('factor', 0.03336640003860881), ('(', 0.02250394531321659), ('f', 0.00943734034803303), ('##g', 0.04679736069072174), ('##f', 0.07116272803389768), (')', 0.009685942202683413), ('stimulation', 0.002695279956870195), ('.', -0.013316024182668324), ('[SEP]', 0.0)]}}"
10,{}
11,{}
12,"{'bladder': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('kiss', 0.004003723651689416), ('##1', -0.0020549199808405968), ('h', 0.010564323133599653), ('##yper', 0.008097991908318274), ('##met', 0.019747191682202958), ('##hyl', 0.013629288279872543), ('##ation', 0.013382709228415234), ('was', 0.029447504731709293), ('frequent', -0.007871098347598336), ('in', 0.11851301611507677), ('bladder', 0.06766074760311863), ('cancer', 0.35883652371236463), ('cells', 0.9184082965420265), ('analyzed', 0.030965473787924754), ('by', -0.02678451913224768), ('met', 0.02602566696438917), ('##hyl', 0.02353602615479367), ('##ation', 0.0394700583022555), ('-', 0.001986052815720563), ('specific', 0.012725397409952936), ('p', 0.013867859631638462), ('##c', 0.0001721850211995745), ('##r', 0.014606399129031958), ('and', 0.001899133782263719), ('bi', 0.008436949733638543), ('##sul', 0.004528698999905834), ('##fit', 0.010682523893499826), ('##e', 0.015221209436381116), ('se', 0.0001465234016723999), ('##quencing', -0.008684057943365603), ('and', -0.005328229253989886), ('was', 0.005753135875667845), ('associated', 0.002698570808931414), ('with', -0.0038303220862163883), ('low', 0.003324276769788115), ('gene', 0.014172675487195717), ('expression', 0.013804722400556368), (',', -0.0027897304912824924), ('being', 0.012142443707579791), ('restored', 0.004442398314074881), ('in', 0.0036814432865776045), ('v', 0.011548149348059006), ('##it', 0.01387708778625187), ('##ro', 0.008087431462292925), ('by', 0.005169043084743795), ('dem', -0.000288238363763748), ('##eth', 0.0017533903150550362), ('##yla', 0.015308353901141068), ('##ting', 0.0032252708615521757), ('a', 0.01026861464230323), ('##zac', -0.006054087697609648), ('##yt', 0.004189602930156271), ('##id', 0.0027707017187349275), ('##ine', 0.007863348849930995), ('.', -0.011609609735285447), ('[SEP]', 0.0)]}}"
13,{}
14,{}
15,"{'lung': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('meta', 0.01023478380332061), ('##static', 0.028747990939571946), ('sub', 0.019209391517890168), ('##pop', 0.024738227870244774), ('##ulation', 0.00402526587753004), ('##s', 0.0327548418335393), ('isolated', -0.02208526722676752), ('from', -0.054572187601590896), ('independent', 0.008719723850490512), ('l', 0.012102612919146704), ('##ymph', 0.023568071914132734), ('node', 0.011601153716749496), ('-', -0.060899128664490196), ('derived', 0.06477252875470106), ('lung', 0.25284494430071913), ('ad', 0.08611126179436009), ('##eno', 0.08209781877810873), ('##car', 0.014357214304969952), ('##cin', 0.07231573164350497), ('##oma', 0.35755734524144367), ('cell', 0.7931497400421695), ('lines', 0.3691700284511694), ('harbor', 0.028956261809420236), ('a', -0.04567810829261004), ('h', 0.02247717927715288), ('##yper', 0.011893828419450836), ('##active', 0.008959450957533675), ('w', -0.003789663842968655), ('##nt', 0.050091541751079355), ('/', -0.007207591511660947), ('t', -0.008164499653832613), ('##c', -0.023449836875543667), ('##f', 0.002244929801630852), ('pathway', -0.03086874117869044), ('.', -0.013134995702726346), ('[SEP]', 0.0)]}}"
